fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-08,Enero,2022,Línea 1 Nochebús,Prepago,196
2022-01-08,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-08,Enero,2022,Línea 2,Boleto,7309
2022-01-08,Enero,2022,Línea 2,Prepago,2744
2022-01-08,Enero,2022,Línea 2,Gratuidad,4787
2022-01-08,Enero,2022,Línea 3,Boleto,5117
2022-01-08,Enero,2022,Línea 3,Prepago,2373
2022-01-08,Enero,2022,Línea 3,Gratuidad,3876
2022-01-08,Enero,2022,Línea 4,Boleto,6474
2022-01-08,Enero,2022,Línea 4,Prepago,0
2022-01-08,Enero,2022,Línea 4,Gratuidad,2271
2022-01-08,Enero,2022,Línea 5,Boleto,3752
2022-01-08,Enero,2022,Línea 5,Prepago,0
2022-01-08,Enero,2022,Línea 5,Gratuidad,1358
2022-01-08,Enero,2022,Línea 6,Boleto,3836
2022-01-08,Enero,2022,Línea 6,Prepago,0
2022-01-08,Enero,2022,Línea 6,Gratuidad,1219
2022-01-08,Enero,2022,Línea 7,Boleto,13104
2022-01-08,Enero,2022,Línea 7,Prepago,1336
2022-01-08,Enero,2022,Línea 7,Gratuidad,3864
2022-01-08,Enero,2022,Línea 8,Boleto,0
2022-01-08,Enero,2022,Línea 8,Prepago,0
2022-01-08,Enero,2022,Línea 8,Gratuidad,0
2022-01-08,Enero,2022,Línea 9,Boleto,2336
2022-01-08,Enero,2022,Línea 9,Prepago,1026
2022-01-08,Enero,2022,Línea 9,Gratuidad,1952
2022-01-08,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-08,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-08,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-09,Enero,2022,Línea 1,Boleto,19603
2022-01-09,Enero,2022,Línea 1,Prepago,7499
2022-01-09,Enero,2022,Línea 1,Gratuidad,11281
2022-01-09,Enero,2022,Línea 1 Nochebús,Boleto,567
2022-01-09,Enero,2022,Línea 1 Nochebús,Prepago,153
2022-01-09,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-09,Enero,2022,Línea 2,Boleto,5860
2022-01-09,Enero,2022,Línea 2,Prepago,1697
2022-01-09,Enero,2022,Línea 2,Gratuidad,3599
2022-01-09,Enero,2022,Línea 3,Boleto,2955
2022-01-09,Enero,2022,Línea 3,Prepago,1617
2022-01-09,Enero,2022,Línea 3,Gratuidad,2366
2022-01-09,Enero,2022,Línea 4,Boleto,5519
2022-01-09,Enero,2022,Línea 4,Prepago,0
2022-01-09,Enero,2022,Línea 4,Gratuidad,1936
2022-01-09,Enero,2022,Línea 5,Boleto,3273
2022-01-09,Enero,2022,Línea 5,Prepago,0
2022-01-09,Enero,2022,Línea 5,Gratuidad,1185
2022-01-09,Enero,2022,Línea 6,Boleto,1980
2022-01-09,Enero,2022,Línea 6,Prepago,0
2022-01-09,Enero,2022,Línea 6,Gratuidad,629
2022-01-09,Enero,2022,Línea 7,Boleto,13153
2022-01-09,Enero,2022,Línea 7,Prepago,1228
2022-01-09,Enero,2022,Línea 7,Gratuidad,3848
2022-01-09,Enero,2022,Línea 8,Boleto,0
2022-01-09,Enero,2022,Línea 8,Prepago,0
2022-01-09,Enero,2022,Línea 8,Gratuidad,0
2022-01-09,Enero,2022,Línea 9,Boleto,2890
2022-01-09,Enero,2022,Línea 9,Prepago,943
2022-01-09,Enero,2022,Línea 9,Gratuidad,2225
2022-01-09,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-09,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-09,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-10,Enero,2022,Línea 1,Boleto,33699
2022-01-10,Enero,2022,Línea 1,Prepago,14647
2022-01-10,Enero,2022,Línea 1,Gratuidad,20123
2022-01-10,Enero,2022,Línea 1 Nochebús,Boleto,460
2022-01-10,Enero,2022,Línea 1 Nochebús,Prepago,165
2022-01-10,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-10,Enero,2022,Línea 2,Boleto,9252
2022-01-10,Enero,2022,Línea 2,Prepago,3736
2022-01-10,Enero,2022,Línea 2,Gratuidad,6185
2022-01-10,Enero,2022,Línea 3,Boleto,6686
2022-01-10,Enero,2022,Línea 3,Prepago,3261
2022-01-10,Enero,2022,Línea 3,Gratuidad,5147
2022-01-10,Enero,2022,Línea 4,Boleto,9217
2022-01-10,Enero,2022,Línea 4,Prepago,0
2022-01-10,Enero,2022,Línea 4,Gratuidad,3233
2022-01-10,Enero,2022,Línea 5,Boleto,4700
2022-01-10,Enero,2022,Línea 5,Prepago,0
2022-01-10,Enero,2022,Línea 5,Gratuidad,1701
2022-01-10,Enero,2022,Línea 6,Boleto,3509
2022-01-10,Enero,2022,Línea 6,Prepago,0
2022-01-10,Enero,2022,Línea 6,Gratuidad,1115
2022-01-10,Enero,2022,Línea 7,Boleto,18694
2022-01-10,Enero,2022,Línea 7,Prepago,1852
2022-01-10,Enero,2022,Línea 7,Gratuidad,5498
2022-01-10,Enero,2022,Línea 8,Boleto,0
2022-01-10,Enero,2022,Línea 8,Prepago,0
2022-01-10,Enero,2022,Línea 8,Gratuidad,0
2022-01-10,Enero,2022,Línea 9,Boleto,4126
2022-01-10,Enero,2022,Línea 9,Prepago,1783
2022-01-10,Enero,2022,Línea 9,Gratuidad,3430
2022-01-10,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-10,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-10,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-11,Enero,2022,Línea 1,Boleto,32160
2022-01-11,Enero,2022,Línea 1,Prepago,15030
2022-01-11,Enero,2022,Línea 1,Gratuidad,19642
2022-01-11,Enero,2022,Línea 1 Nochebús,Boleto,281
2022-01-11,Enero,2022,Línea 1 Nochebús,Prepago,102
2022-01-11,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-11,Enero,2022,Línea 2,Boleto,9173
2022-01-11,Enero,2022,Línea 2,Prepago,4126
2022-01-11,Enero,2022,Línea 2,Gratuidad,6333
2022-01-11,Enero,2022,Línea 3,Boleto,5924
2022-01-11,Enero,2022,Línea 3,Prepago,3117
2022-01-11,Enero,2022,Línea 3,Gratuidad,4678
2022-01-11,Enero,2022,Línea 4,Boleto,7279
2022-01-11,Enero,2022,Línea 4,Prepago,0
2022-01-11,Enero,2022,Línea 4,Gratuidad,2554
2022-01-11,Enero,2022,Línea 5,Boleto,4513
2022-01-11,Enero,2022,Línea 5,Prepago,0
2022-01-11,Enero,2022,Línea 5,Gratuidad,1634
2022-01-11,Enero,2022,Línea 6,Boleto,3749
2022-01-11,Enero,2022,Línea 6,Prepago,0
2022-01-11,Enero,2022,Línea 6,Gratuidad,1191
2022-01-11,Enero,2022,Línea 7,Boleto,17994
2022-01-11,Enero,2022,Línea 7,Prepago,2299
2022-01-11,Enero,2022,Línea 7,Gratuidad,5430
2022-01-11,Enero,2022,Línea 8,Boleto,0
2022-01-11,Enero,2022,Línea 8,Prepago,0
2022-01-11,Enero,2022,Línea 8,Gratuidad,0
2022-01-11,Enero,2022,Línea 9,Boleto,3688
2022-01-11,Enero,2022,Línea 9,Prepago,1751
2022-01-11,Enero,2022,Línea 9,Gratuidad,3157
