fecha,mes,anio,linea,tipo_pago,afluencia
2022-02-25,Febrero,2022,Línea 1,Gratuidad,3337
2022-02-25,Febrero,2022,Línea 2,Prepago,64450
2022-02-25,Febrero,2022,Línea 2,Gratuidad,7407
2022-02-26,Febrero,2022,Línea 1,Prepago,39980
2022-02-26,Febrero,2022,Línea 1,Gratuidad,3017
2022-02-26,Febrero,2022,Línea 2,Prepago,60119
2022-02-26,Febrero,2022,Línea 2,Gratuidad,6219
2022-02-27,Febrero,2022,Línea 1,Prepago,28811
2022-02-27,Febrero,2022,Línea 1,Gratuidad,2094
2022-02-27,Febrero,2022,Línea 2,Prepago,46409
2022-02-27,Febrero,2022,Línea 2,Gratuidad,4937
2022-02-28,Febrero,2022,Línea 1,Prepago,41155
2022-02-28,Febrero,2022,Línea 1,Gratuidad,2739
2022-02-28,Febrero,2022,Línea 2,Prepago,62377
2022-02-28,Febrero,2022,Línea 2,Gratuidad,7432
2022-03-01,Marzo,2022,Línea 1,Prepago,41964
2022-03-01,Marzo,2022,Línea 1,Gratuidad,2920
2022-03-01,Marzo,2022,Línea 2,Prepago,63357
2022-03-01,Marzo,2022,Línea 2,Gratuidad,7599
2022-03-02,Marzo,2022,Línea 1,Prepago,41709
2022-03-02,Marzo,2022,Línea 1,Gratuidad,2424
2022-03-02,Marzo,2022,Línea 2,Prepago,63937
2022-03-02,Marzo,2022,Línea 2,Gratuidad,7530
2022-03-03,Marzo,2022,Línea 1,Prepago,37841
2022-03-03,Marzo,2022,Línea 1,Gratuidad,2725
2022-03-03,Marzo,2022,Línea 2,Prepago,61723
2022-03-03,Marzo,2022,Línea 2,Gratuidad,7162
2022-03-04,Marzo,2022,Línea 1,Prepago,42780
2022-03-04,Marzo,2022,Línea 1,Gratuidad,2970
2022-03-04,Marzo,2022,Línea 2,Prepago,65763
2022-03-04,Marzo,2022,Línea 2,Gratuidad,7233
2022-03-05,Marzo,2022,Línea 1,Prepago,39057
2022-03-05,Marzo,2022,Línea 1,Gratuidad,3049
2022-03-05,Marzo,2022,Línea 2,Prepago,62280
2022-03-05,Marzo,2022,Línea 2,Gratuidad,6845
2022-03-06,Marzo,2022,Línea 1,Prepago,29747
2022-03-06,Marzo,2022,Línea 1,Gratuidad,2347
2022-03-06,Marzo,2022,Línea 2,Prepago,45634
2022-03-06,Marzo,2022,Línea 2,Gratuidad,5206
2022-03-07,Marzo,2022,Línea 1,Prepago,41502
2022-03-07,Marzo,2022,Línea 1,Gratuidad,3596
2022-03-07,Marzo,2022,Línea 2,Prepago,63215
2022-03-07,Marzo,2022,Línea 2,Gratuidad,7605
2022-03-08,Marzo,2022,Línea 1,Prepago,40549
2022-03-08,Marzo,2022,Línea 1,Gratuidad,3164
2022-03-08,Marzo,2022,Línea 2,Prepago,62377
2022-03-08,Marzo,2022,Línea 2,Gratuidad,7493
2022-03-09,Marzo,2022,Línea 1,Prepago,40908
2022-03-09,Marzo,2022,Línea 1,Gratuidad,3743
2022-03-09,Marzo,2022,Línea 2,Prepago,62527
2022-03-09,Marzo,2022,Línea 2,Gratuidad,7904
2022-03-10,Marzo,2022,Línea 1,Prepago,41606
2022-03-10,Marzo,2022,Línea 1,Gratuidad,3387
2022-03-10,Marzo,2022,Línea 2,Prepago,63188
2022-03-10,Marzo,2022,Línea 2,Gratuidad,8185
2022-03-11,Marzo,2022,Línea 1,Prepago,43862
2022-03-11,Marzo,2022,Línea 1,Gratuidad,3271
2022-03-11,Marzo,2022,Línea 2,Prepago,66224
2022-03-11,Marzo,2022,Línea 2,Gratuidad,7924
2022-03-12,Marzo,2022,Línea 1,Prepago,38278
2022-03-12,Marzo,2022,Línea 1,Gratuidad,3255
2022-03-12,Marzo,2022,Línea 2,Prepago,62226
2022-03-12,Marzo,2022,Línea 2,Gratuidad,6668
2022-03-13,Marzo,2022,Línea 1,Prepago,29384
2022-03-13,Marzo,2022,Línea 1,Gratuidad,3028
2022-03-13,Marzo,2022,Línea 2,Prepago,48749
2022-03-13,Marzo,2022,Línea 2,Gratuidad,5490
2022-03-14,Marzo,2022,Línea 1,Prepago,39935
2022-03-14,Marzo,2022,Línea 1,Gratuidad,3588
2022-03-14,Marzo,2022,Línea 2,Prepago,62976
2022-03-14,Marzo,2022,Línea 2,Gratuidad,8211
2022-03-15,Marzo,2022,Línea 1,Prepago,41633
2022-03-15,Marzo,2022,Línea 1,Gratuidad,3944
2022-03-15,Marzo,2022,Línea 2,Prepago,62641
