fecha,mes,anio,servicio,tipo_pago,afluencia
2025-08-28,Agosto,2025,NOCHEBÚS,Prepago,491
2025-08-28,Agosto,2025,NOCHEBÚS,Gratuidad,64
2025-08-28,Agosto,2025,ORDINARIO,Boleto,0
2025-08-28,Agosto,2025,ORDINARIO,Prepago,49641
2025-08-28,Agosto,2025,ORDINARIO,Gratuidad,8349
2025-08-28,Agosto,2025,S/METRO,Boleto,3589
2025-08-28,Agosto,2025,S/METRO,Prepago,14795
2025-08-28,Agosto,2025,S/METRO,Gratuidad,3004
2025-08-28,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-28,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1124
2025-08-28,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,183
2025-08-29,Agosto,2025,ATENEA,Boleto,0
2025-08-29,Agosto,2025,ATENEA,Prepago,19789
2025-08-29,Agosto,2025,ATENEA,Gratuidad,3325
2025-08-29,Agosto,2025,ECOBÚS,Boleto,0
2025-08-29,Agosto,2025,ECOBÚS,Prepago,42008
2025-08-29,Agosto,2025,ECOBÚS,Gratuidad,6924
2025-08-29,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-29,Agosto,2025,EXPDIRECTO,Prepago,3819
2025-08-29,Agosto,2025,EXPDIRECTO,Gratuidad,628
2025-08-29,Agosto,2025,EXPRESO,Boleto,0
2025-08-29,Agosto,2025,EXPRESO,Prepago,99545
2025-08-29,Agosto,2025,EXPRESO,Gratuidad,16675
2025-08-29,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-29,Agosto,2025,NOCHEBÚS,Prepago,604
2025-08-29,Agosto,2025,NOCHEBÚS,Gratuidad,73
2025-08-29,Agosto,2025,ORDINARIO,Boleto,0
2025-08-29,Agosto,2025,ORDINARIO,Prepago,49507
2025-08-29,Agosto,2025,ORDINARIO,Gratuidad,8358
2025-08-29,Agosto,2025,S/METRO,Boleto,4155
2025-08-29,Agosto,2025,S/METRO,Prepago,15772
2025-08-29,Agosto,2025,S/METRO,Gratuidad,3242
2025-08-29,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-29,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1346
2025-08-29,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,221
2025-08-30,Agosto,2025,ATENEA,Boleto,0
2025-08-30,Agosto,2025,ATENEA,Prepago,11011
2025-08-30,Agosto,2025,ATENEA,Gratuidad,1832
